suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
12,4,9,12,3,100.0,96.72,100.0,False
12,5,9,12,3,100.0,96.72,100.0,False
12,6,9,12,3,100.0,96.72,100.0,False
12,7,9,12,3,100.0,96.72,100.0,False
12,8,9,12,3,100.0,96.72,100.0,False
12,9,9,12,3,100.0,96.72,100.0,False
12,10,9,12,3,100.0,96.72,100.0,False
13,1,9,13,4,100.0,95.08,100.0,False
13,2,9,13,4,100.0,95.08,100.0,False
13,3,9,13,4,100.0,95.08,100.0,False
13,4,9,13,4,100.0,95.08,100.0,False
13,5,9,13,4,100.0,95.08,100.0,False
13,6,9,13,4,100.0,95.08,100.0,False
13,7,9,13,4,100.0,95.08,100.0,False
13,8,9,13,4,100.0,95.08,100.0,False
13,9,9,13,4,100.0,95.08,100.0,False
13,10,9,13,4,100.0,95.08,100.0,False
14,1,9,12,3,100.0,96.17,100.0,False
14,2,9,12,3,100.0,96.17,100.0,False
14,3,9,13,4,100.0,96.17,100.0,False
14,4,9,13,4,100.0,96.17,100.0,False
14,5,9,13,4,100.0,96.17,100.0,False
14,6,9,12,3,100.0,96.17,100.0,False
14,7,9,13,4,100.0,96.17,100.0,False
14,8,9,12,3,100.0,96.17,100.0,False
14,9,9,12,3,100.0,96.17,100.0,False
14,10,9,13,4,100.0,96.17,100.0,False
15,1,9,13,4,100.0,95.63,100.0,True
15,2,9,13,4,100.0,95.63,100.0,False
15,3,9,12,3,100.0,95.63,100.0,False
15,4,9,13,4,100.0,95.63,100.0,False
15,5,9,13,4,100.0,95.63,100.0,False
15,6,9,12,3,100.0,95.63,100.0,False
15,7,9,12,3,100.0,95.63,100.0,False
15,8,9,13,4,100.0,95.63,100.0,False
15,9,9,12,3,100.0,95.63,100.0,False
15,10,9,13,4,100.0,95.63,100.0,False
16,1,9,13,4,100.0,95.08,100.0,False
16,2,9,13,4,100.0,95.08,100.0,False
16,3,9,13,4,100.0,95.08,100.0,False
16,4,9,13,4,100.0,95.08,100.0,False
16,5,9,13,4,100.0,95.08,100.0,False
16,6,9,13,4,100.0,95.08,100.0,False
16,7,9,13,4,100.0,95.08,100.0,False
16,8,9,13,4,100.0,95.08,100.0,False
16,9,9,13,4,100.0,95.08,100.0,False
16,10,9,13,4,100.0,95.08,100.0,False
17,1,9,13,4,100.0,95.08,100.0,False
17,2,9,13,4,100.0,95.08,100.0,True
17,3,9,13,4,100.0,95.08,100.0,False
17,4,9,13,4,100.0,95.08,100.0,False
17,5,9,13,4,100.0,95.08,100.0,False
17,6,9,13,4,100.0,95.08,100.0,False
17,7,9,13,4,100.0,95.08,100.0,True
17,8,9,13,4,100.0,95.08,100.0,False
17,9,9,13,4,100.0,95.08,100.0,False
17,10,9,13,4,100.0,95.08,100.0,False
18,1,9,13,4,100.0,96.17,100.0,True
18,2,9,13,4,100.0,96.17,100.0,False
18,3,9,13,4,100.0,96.17,100.0,False
18,4,9,13,4,100.0,96.17,100.0,False
18,5,9,13,4,100.0,96.17,100.0,False
18,6,9,13,4,100.0,96.17,100.0,False
18,7,9,12,3,100.0,96.17,100.0,False
18,8,9,13,4,100.0,96.17,100.0,False
18,9,9,13,4,100.0,96.17,100.0,False
18,10,9,13,4,100.0,96.17,100.0,False
19,1,9,13,4,100.0,95.63,100.0,False
19,2,9,13,4,100.0,95.63,100.0,False
19,3,9,13,4,100.0,95.63,100.0,False
19,4,9,13,4,100.0,95.63,100.0,False
19,5,9,13,4,100.0,95.63,100.0,False
19,6,9,13,4,100.0,95.63,100.0,False
19,7,9,12,3,100.0,95.63,100.0,False
19,8,9,12,3,100.0,95.63,100.0,False
19,9,9,12,3,100.0,95.63,100.0,False
19,10,9,13,4,100.0,95.63,100.0,False
20,1,9,13,4,100.0,95.63,100.0,False
20,2,9,13,4,100.0,95.63,100.0,False
20,3,9,13,4,100.0,95.63,100.0,False
20,4,9,13,4,100.0,95.63,100.0,False
20,5,9,13,4,100.0,95.63,100.0,False
20,6,9,12,3,100.0,95.63,100.0,False
20,7,9,13,4,100.0,95.63,100.0,False
20,8,9,12,3,100.0,95.63,100.0,False
20,9,9,12,3,100.0,95.63,100.0,False
20,10,9,13,4,100.0,95.63,100.0,True
21,1,9,13,4,100.0,95.63,100.0,False
21,2,9,13,4,100.0,95.63,100.0,True
21,3,9,13,4,100.0,95.63,100.0,False
21,4,9,13,4,100.0,95.63,100.0,False
21,5,9,13,4,100.0,95.63,100.0,False
21,6,9,13,4,100.0,95.63,100.0,False
21,7,9,13,4,100.0,95.63,100.0,False
21,8,9,13,4,100.0,95.63,100.0,False
21,9,9,13,4,100.0,95.63,100.0,False
21,10,9,13,4,100.0,95.63,100.0,False
22,1,9,13,4,100.0,96.17,100.0,False
