============================================================
EXPERIMENTAL RESULTS SUMMARY
============================================================

Criterion A (initial)   : STMT
Criterion B (augmented) : ADC

Suites generated        : 100
Total augmentations     : 1000
Fault revealed          : 1 (0.1%)
Not revealed            : 999

------------------------------------------------------------
  Suite 1: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 2: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 3: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 4: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 5: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 6: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 7: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 8: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 9: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 10: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 11: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 12: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 13: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 14: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 15: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 16: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 17: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 18: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 19: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 20: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 21: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 22: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 23: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 24: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 25: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 26: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 27: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 28: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 29: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 30: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 31: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 32: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 33: initial=4, augmentations=10, revealed=0, avg_aug_size=5.0
