============================================================
EXPERIMENTAL RESULTS SUMMARY
============================================================

Criterion A (initial)   : STMT
Criterion B (augmented) : ADC

Suites generated        : 100
Total augmentations     : 1000
Fault revealed          : 44 (4.4%)
Not revealed            : 956

------------------------------------------------------------
  Suite 84: initial=8, augmentations=10, revealed=0, avg_aug_size=11.0
  Suite 85: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
  Suite 86: initial=8, augmentations=10, revealed=0, avg_aug_size=11.0
  Suite 87: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
  Suite 88: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
  Suite 89: initial=10, augmentations=10, revealed=1, avg_aug_size=13.0
  Suite 90: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
  Suite 91: initial=9, augmentations=10, revealed=1, avg_aug_size=12.0
  Suite 92: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
  Suite 93: initial=9, augmentations=10, revealed=2, avg_aug_size=12.0
  Suite 94: initial=8, augmentations=10, revealed=0, avg_aug_size=11.0
  Suite 95: initial=8, augmentations=10, revealed=0, avg_aug_size=11.0
  Suite 96: initial=8, augmentations=10, revealed=0, avg_aug_size=11.0
  Suite 97: initial=8, augmentations=10, revealed=1, avg_aug_size=11.0
  Suite 98: initial=9, augmentations=10, revealed=1, avg_aug_size=12.0
  Suite 99: initial=8, augmentations=10, revealed=1, avg_aug_size=11.0
  Suite 100: initial=9, augmentations=10, revealed=0, avg_aug_size=12.0
