suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
1,1,1,4,3,100.0,92.0,100.0,False
1,2,1,4,3,100.0,92.0,100.0,False
1,3,1,4,3,100.0,92.0,100.0,False
1,4,1,4,3,100.0,92.0,100.0,False
1,5,1,4,3,100.0,92.0,100.0,False
1,6,1,4,3,100.0,92.0,100.0,False
1,7,1,4,3,100.0,92.0,100.0,False
1,8,1,4,3,100.0,92.0,100.0,False
1,9,1,4,3,100.0,92.0,100.0,False
1,10,1,4,3,100.0,92.0,100.0,False
2,1,1,5,4,100.0,91.0,100.0,False
2,2,1,5,4,100.0,91.0,100.0,False
2,3,1,4,3,100.0,91.0,100.0,False
2,4,1,5,4,100.0,91.0,100.0,False
2,5,1,4,3,100.0,91.0,100.0,False
2,6,1,4,3,100.0,91.0,100.0,False
2,7,1,4,3,100.0,91.0,100.0,False
2,8,1,4,3,100.0,91.0,100.0,False
2,9,1,5,4,100.0,91.0,100.0,False
2,10,1,4,3,100.0,91.0,100.0,False
3,1,1,5,4,100.0,90.0,100.0,False
3,2,1,5,4,100.0,90.0,100.0,False
3,3,1,5,4,100.0,90.0,100.0,False
3,4,1,5,4,100.0,90.0,100.0,False
3,5,1,5,4,100.0,90.0,100.0,False
3,6,1,5,4,100.0,90.0,100.0,False
3,7,1,4,3,100.0,90.0,100.0,False
3,8,1,5,4,100.0,90.0,100.0,False
3,9,1,5,4,100.0,90.0,100.0,False
3,10,1,5,4,100.0,90.0,100.0,False
4,1,1,5,4,100.0,89.0,100.0,False
4,2,1,5,4,100.0,89.0,100.0,False
4,3,1,5,4,100.0,89.0,100.0,False
4,4,1,5,4,100.0,89.0,100.0,False
4,5,1,5,4,100.0,89.0,100.0,False
4,6,1,5,4,100.0,89.0,100.0,False
4,7,1,5,4,100.0,89.0,100.0,False
4,8,1,5,4,100.0,89.0,100.0,False
4,9,1,5,4,100.0,89.0,100.0,False
4,10,1,5,4,100.0,89.0,100.0,False
5,1,1,4,3,100.0,93.0,100.0,False
5,2,1,4,3,100.0,93.0,100.0,False
5,3,1,4,3,100.0,93.0,100.0,False
5,4,1,4,3,100.0,93.0,100.0,False
5,5,1,4,3,100.0,93.0,100.0,False
5,6,1,4,3,100.0,93.0,100.0,False
5,7,1,4,3,100.0,93.0,100.0,False
5,8,1,4,3,100.0,93.0,100.0,False
5,9,1,4,3,100.0,93.0,100.0,False
5,10,1,4,3,100.0,93.0,100.0,False
6,1,1,5,4,100.0,87.0,100.0,False
6,2,1,5,4,100.0,87.0,100.0,False
6,3,1,5,4,100.0,87.0,100.0,False
6,4,1,5,4,100.0,87.0,100.0,False
6,5,1,5,4,100.0,87.0,100.0,False
6,6,1,5,4,100.0,87.0,100.0,False
6,7,1,5,4,100.0,87.0,100.0,False
6,8,1,5,4,100.0,87.0,100.0,False
6,9,1,5,4,100.0,87.0,100.0,False
6,10,1,5,4,100.0,87.0,100.0,False
7,1,1,5,4,100.0,89.0,100.0,False
7,2,1,5,4,100.0,89.0,100.0,False
7,3,1,5,4,100.0,89.0,100.0,False
7,4,1,5,4,100.0,89.0,100.0,False
7,5,1,5,4,100.0,89.0,100.0,False
7,6,1,5,4,100.0,89.0,100.0,False
7,7,1,5,4,100.0,89.0,100.0,False
7,8,1,5,4,100.0,89.0,100.0,False
7,9,1,5,4,100.0,89.0,100.0,False
7,10,1,5,4,100.0,89.0,100.0,False
8,1,1,4,3,100.0,91.0,100.0,False
8,2,1,4,3,100.0,91.0,100.0,False
8,3,1,5,4,100.0,91.0,100.0,False
8,4,1,5,4,100.0,91.0,100.0,False
8,5,1,5,4,100.0,91.0,100.0,False
8,6,1,5,4,100.0,91.0,100.0,False
8,7,1,5,4,100.0,91.0,100.0,False
8,8,1,5,4,100.0,91.0,100.0,False
8,9,1,5,4,100.0,91.0,100.0,False
8,10,1,5,4,100.0,91.0,100.0,False
9,1,1,5,4,100.0,89.0,100.0,False
9,2,1,5,4,100.0,89.0,100.0,False
9,3,1,5,4,100.0,89.0,100.0,False
9,4,1,5,4,100.0,89.0,100.0,False
9,5,1,5,4,100.0,89.0,100.0,False
9,6,1,5,4,100.0,89.0,100.0,False
9,7,1,5,4,100.0,89.0,100.0,False
9,8,1,5,4,100.0,89.0,100.0,False
9,9,1,5,4,100.0,89.0,100.0,False
9,10,1,5,4,100.0,89.0,100.0,False
10,1,1,4,3,100.0,87.0,100.0,False
10,2,1,4,3,100.0,87.0,100.0,False
10,3,1,4,3,100.0,87.0,100.0,False
10,4,1,5,4,100.0,87.0,100.0,False
10,5,1,4,3,100.0,87.0,100.0,False
10,6,1,4,3,100.0,87.0,100.0,False
10,7,1,4,3,100.0,87.0,100.0,False
10,8,1,4,3,100.0,87.0,100.0,False
10,9,1,5,4,100.0,87.0,100.0,False
10,10,1,4,3,100.0,87.0,100.0,False
11,1,1,5,4,100.0,91.0,100.0,False
11,2,1,4,3,100.0,91.0,100.0,False
11,3,1,5,4,100.0,91.0,100.0,False
11,4,1,4,3,100.0,91.0,100.0,False
11,5,1,4,3,100.0,91.0,100.0,False
11,6,1,5,4,100.0,91.0,100.0,False
11,7,1,5,4,100.0,91.0,100.0,False
11,8,1,4,3,100.0,91.0,100.0,False
11,9,1,4,3,100.0,91.0,100.0,False
11,10,1,5,4,100.0,91.0,100.0,False
12,1,1,4,3,100.0,87.0,100.0,False
12,2,1,4,3,100.0,87.0,100.0,False
