suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
3,14,4,8,4,100.0,88.33,100.0,False
3,15,4,8,4,100.0,88.33,100.0,False
3,16,4,8,4,100.0,88.33,100.0,False
3,17,4,8,4,100.0,88.33,100.0,False
3,18,4,8,4,100.0,88.33,100.0,False
3,19,4,8,4,100.0,88.33,100.0,False
3,20,4,8,4,100.0,88.33,100.0,False
3,21,4,8,4,100.0,88.33,100.0,True
3,22,4,8,4,100.0,88.33,100.0,False
3,23,4,8,4,100.0,88.33,100.0,False
3,24,4,8,4,100.0,88.33,100.0,False
3,25,4,8,4,100.0,88.33,100.0,False
3,26,4,8,4,100.0,88.33,100.0,False
3,27,4,8,4,100.0,88.33,100.0,False
3,28,4,8,4,100.0,88.33,100.0,False
3,29,4,8,4,100.0,88.33,100.0,False
3,30,4,8,4,100.0,88.33,100.0,False
3,31,4,8,4,100.0,88.33,100.0,False
3,32,4,8,4,100.0,88.33,100.0,False
3,33,4,8,4,100.0,88.33,100.0,False
3,34,4,8,4,100.0,88.33,100.0,False
3,35,4,8,4,100.0,88.33,100.0,False
3,36,4,8,4,100.0,88.33,100.0,False
3,37,4,8,4,100.0,88.33,100.0,False
3,38,4,8,4,100.0,88.33,100.0,False
3,39,4,8,4,100.0,88.33,100.0,False
3,40,4,8,4,100.0,88.33,100.0,False
3,41,4,8,4,100.0,88.33,100.0,True
3,42,4,8,4,100.0,88.33,100.0,False
3,43,4,8,4,100.0,88.33,100.0,True
3,44,4,8,4,100.0,88.33,100.0,False
3,45,4,8,4,100.0,88.33,100.0,False
3,46,4,8,4,100.0,88.33,100.0,False
3,47,4,8,4,100.0,88.33,100.0,False
3,48,4,8,4,100.0,88.33,100.0,False
3,49,4,8,4,100.0,88.33,100.0,False
3,50,4,8,4,100.0,88.33,100.0,False
4,1,4,8,4,100.0,88.33,100.0,False
4,2,4,8,4,100.0,88.33,100.0,False
4,3,4,8,4,100.0,88.33,100.0,False
